##########################################################################################
################################ Unigram Term Frequency Table ############################
##########################################################################################


   TERM                         |      TERM FREQUENCY
   wetherspoon                  |         1
   weterings                    |         1
   wetdry                       |         1
   westvleteren                 |         1
   westrather                   |         1
   westport                     |         1
   weston                       |         1
   westmorland                  |         1
   westminster-style            |         1
   westland                     |         1
   westfalen                    |         1
   westernizers                 |         1
   westernization               |         1
   westernised                  |         1
   westernisation               |         1
   westerner                    |         1
   western-made                 |         1
   western-built                |         1
   westcountry                  |         1
   westbound                    |         1
   west-to-east                 |         1
   west-northwest               |         1
   west-central                 |         1
   west-bound                   |         1
   wessobrunner                 |         1
   weser                        |         1
   wesen                        |         1
   wesak                        |         1
   werther                      |         1
   werro                        |         1
   werkbund                     |         1
   werfel                       |         1
   werewolves                   |         1
   werewolf                     |         1
   wendy                        |         1
   wendron                      |         1
   wenders                      |         1
   wendelstein                  |         1
   wenceslas                    |         1
   wenatchee                    |         1
   welterweight                 |         1
   welteislehre                 |         1
   welshman                     |         1
   welsh-medium                 |         1
   wels                         |         1
   wellhead                     |         1
   welles                       |         1
   wellcome                     |         1
   wellbeing                    |         1
   welland                      |         1
   well-watered                 |         1
   well-versed                  |         1
   well-up                      |         1
   well-trained                 |         1
   well-suited                  |         1
   well-studied                 |         1
   well-stocked                 |         1
   well-researched              |         1
   well-regulated               |         1
   well-regarded                |         1
   well-populated               |         1
   well-parameterized           |         1
   well-organized               |         1
   well-off                     |         1
   well-observed                |         1
   well-meaning                 |         1
   well-made                    |         1
   well-informed                |         1
   well-groomed                 |         1
   well-functioning             |         1
   well-founded                 |         1
   well-flavoured               |         1
   well-exposed                 |         1
   well-engineered              |         1
   well-designed                |         1
   well-coordinated             |         1
   well-calibrated              |         1
   well-behaved                 |         1
   well-balanced                |         1
   well-attended                |         1
   well-armed                   |         1
   well-accepted                |         1
   welker                       |         1
   welds                        |         1
   weldon                       |         1
   wejherowo                    |         1
   weisswursts                  |         1
   weiser                       |         1
   weiren                       |         1
   weird                        |         1
   weiner                       |         1
   weinberger                   |         1
   weikhard                     |         1
   weightless                   |         1
   weightings                   |         1
   weight-lifting               |         1
   weierstrass                  |         1
   weidenfeld                   |         1
   weichelsberger               |         1
   wei                          |         1
   wegener                      |         1
   weg                          |         1
   wefs                         |         1
   weep                         |         1
   weekends                     |         1
   weekend-long                 |         1
   weed                         |         1
   wednesdays                   |         1
   wedgwoods                    |         1
   wedging                      |         1
   wedge-shaped                 |         1
   wedge-product                |         1
   wed-mna                      |         1
   wed                          |         1
   webwise                      |         1
   webtv                        |         1
   webster                      |         1
   webs                         |         1
   webpages                     |         1
   webmaster                    |         1
   webjunction                  |         1
   webis                        |         1
   webern                       |         1
   webcams                      |         1
   webcam                       |         1
   webby                        |         1
   webber                       |         1
   web-to-handle                |         1
   web-portals                  |         1
   web-portal                   |         1
   web-like                     |         1
   weather-sealing              |         1
   weather-related              |         1
   weather-monitoring           |         1
   weapon-grade                 |         1
   wealh                        |         1
   wealdartois                  |         1
   weald-artois                 |         1
   wealas                       |         1
   weal                         |         1
   weaken                       |         1
   weak-gravity                 |         1
   weak-field                   |         1
   wd                           |         1
   wco                          |         1
   wcm                          |         1
   wce                          |         1
   wc9                          |         1
   wc7                          |         1
   wc6                          |         1
   wc4                          |         1
   wbm                          |         1
   wbg                          |         1
   wb-57f                       |         1
   wazir                        |         1
   waysincluding                |         1
   wayditch                     |         1
   waybacks                     |         1
   way-back                     |         1
   waviness                     |         1
   waveguide                    |         1
   waveband                     |         1
   wave-particle                |         1
   wave-cut                     |         1
   watzlawick                   |         1
   wattm                        |         1
   wattle                       |         1
   watteau                      |         1
   watt-peak                    |         1
   watt-hours                   |         1
   watkyn                       |         1
   watkins                      |         1
   watford                      |         1
   waterworld                   |         1
   waterworks                   |         1
   waterwaysby                  |         1
   waterston                    |         1
   watersport                   |         1
   watersfrom                   |         1
   waterproofness               |         1
   waterproofing                |         1
   watermelons                  |         1
   watermarks                   |         1
   waterman                     |         1
   waterlogged                  |         1
   waterless                    |         1
   watering                     |         1
   waterflow                    |         1
   waterfield                   |         1
   waterfall                    |         1
   watered                      |         1
   watercourses                 |         1
   waterbenders                 |         1
   wateran                      |         1
   water-taxi                   |         1
   water-rich                   |         1
   water-resistant              |         1
   water-resistance             |         1
   water-pole                   |         1
   water-flow                   |         1
   water-cooled                 |         1
   water-consumption            |         1
   water-channels               |         1
   water-based                  |         1
   watchtower                   |         1
   watchtime                    |         1
   watchdogs                    |         1
   watchdog                     |         1
   watch-makers                 |         1
   wat                          |         1
   wasysym                      |         1
   wastemarine                  |         1
   wasteland                    |         1
   waste-collection             |         1
   wass                         |         1
   wasp-17b                     |         1
   wasit                        |         1
   wasis                        |         1
   washi                        |         1
   washer                       |         1
   washed-out                   |         1
   washcloths                   |         1
   washbasin                    |         1
   was1473754                   |         1
   warwickshire                 |         1
   warwick                      |         1
   warwasi                      |         1
   warty                        |         1
   warsteiner                   |         1
   warspite                     |         1
   warsi                        |         1
   warrenton                    |         1
   warred                       |         1
   warps                        |         1
   warplanes                    |         1
   warplane                     |         1
   warping                      |         1
   warped                       |         1
   warp                         |         1
   warmongering                 |         1
   warmers                      |         1
   warm-up                      |         1
   warm-humid                   |         1
   warlock                      |         1
   warhead                      |         1
   wargo                        |         1
   wargame                      |         1
   wares                        |         1
   warblers                     |         1
   war-torn                     |         1
   war-ravaged                  |         1
   war-era                      |         1
   wappenbuch                   |         1
   wapowski                     |         1
   wapda                        |         1
   wanderers                    |         1
   wandered                     |         1
   wander                       |         1
   wand                         |         1
   walum                        |         1
   waltzes                      |         1
   waltz                        |         1
   waltham                      |         1
   walters                      |         1
   waltemath                    |         1
   waltari                      |         1
   waltair                      |         1
   walston                      |         1
   walpole                      |         1
   walnuts                      |         1
   walnut-shaped                |         1
   walmer                       |         1
   wally                        |         1
   wallpaper                    |         1
   wallonias                    |         1
   walliscote                   |         1
   wallingford                  |         1
   wallinger                    |         1
   walleye                      |         1
   wallet                       |         1
   wallenberg                   |         1
   walled                       |         1
   wallcreepers                 |         1
   wallcreeper                  |         1
   wallachorum                  |         1
   wallachians                  |         1
   wallach                      |         1
   wall-e                       |         1
   wall-bouncing                |         1
   walkways                     |         1
   walkman                      |         1
   walking-stick                |         1
   wali                         |         1
   waless                       |         1
   waldsee                      |         1
   waldo                        |         1
   waldmller                    |         1
   waldmeier                    |         1
   waldheim                     |         1
   waldbronn                    |         1
   wakes                        |         1
   waken                        |         1
   wajda                        |         1
   waivers                      |         1
   waived                       |         1
   wainwright                   |         1
   wails                        |         1
   wailly                       |         1
   wahi                         |         1
   wags                         |         1
   wagner-rgeny                 |         1
   wagle                        |         1
   wagering                     |         1
   wager                        |         1
   wafai                        |         1
   waerden                      |         1
   wadesboro                    |         1
   wadeln                       |         1
   wadel                        |         1
   wadebridge                   |         1
   wade                         |         1
   wadden                       |         1
   waddell                      |         1
   wadd                         |         1
   wadai                        |         1
   waco                         |         1
   wacky                        |         1
   wachau                       |         1
   wacaw                        |         1
   w3w4-channels                |         1
   vzsonyi                      |         1
   vzhodna                      |         1
   vysotsky                     |         1
   vyom                         |         1
   vyborg                       |         1
   vyas                         |         1
   vy                           |         1
   vvvv                         |         1
   vv                           |         1
   vuzje                        |         1
   vurnik                       |         1
   vuntut                       |         1
   vultures                     |         1
   vulkan                       |         1
   vulgi                        |         1
   vulgarly                     |         1
   vulgairement                 |         1
   vulcan-type                  |         1
   vukovi                       |         1
   vukovar-syrmia               |         1
   vukoti                       |         1
   vukos                        |         1
   vuji                         |         1
   vuitrn                       |         1
   vuisi                        |         1
   vuillemin                    |         1
   vuia                         |         1
   vui                          |         1
   vuga                         |         1
   vug                          |         1
   vueli                        |         1
   vuchetich                    |         1
   vu                           |         1
   vsmow                        |         1
   vsauce3                      |         1
   vryonides                    |         1
   vry                          |         1
   vrubel                       |         1
   vrtiz                        |         1
   vros                         |         1
   vronique                     |         1
   vro                          |         1
   vrnjaka                      |         1
   vrmnad                       |         1
   vrizy                        |         1
   vrishcika                    |         1
   vrishabha                    |         1
   vrhu                         |         1
   vrh                          |         1
   vremeni                      |         1
   vreme                        |         1
   vrecque                      |         1
   vrdlovec                     |         1
   vrat                         |         1
   vranitzky                    |         1
   vrais                        |         1
   vraic                        |         1
   vrady                        |         1
   vr                           |         1
   vpafs                        |         1
   vp9webm                      |         1
   vp8                          |         1
   voznesensky                  |         1
   voz                          |         1
   voyaging                     |         1
   voyagers                     |         1
   vox                          |         1
   vows                         |         1
   vowed                        |         1
   vow                          |         1
   vouzinois                    |         1
   voustronios                  |         1
   vouglans                     |         1
   vought                       |         1
   vouet                        |         1
   vostok1                      |         1
   vosseler                     |         1
   voss                         |         1
   voskresenskiy                |         1
   voskhod-m                    |         1
   voseo                        |         1
   vos                          |         1
   vorticity                    |         1
   vortexes                     |         1
   vorontsova-dashkova          |         1
   voronezh                     |         1
   vorbis                       |         1
   vorarlberg                   |         1
   voranc                       |         1
   vor                          |         1
   voorspoed                    |         1
   voodoos                      |         1
   vomit                        |         1
   volvieras                    |         1
   volutes                      |         1
   volute                       |         1
   volumetrically               |         1
   volumetric                   |         1
   volumen                      |         1
   volumelike                   |         1
   volterra                     |         1
   volte-face                   |         1
   voltaire                     |         1
   voltaic                      |         1
   volt-seconds                 |         1
   volt-ampere                  |         1
   volpe                        |         1
   volodymyr                    |         1
   volney                       |         1
   volksschule                  |         1
   volkoff                      |         1
   volker                       |         1
   volition                     |         1
   volia                        |         1
   volcn                        |         1
   volcanos                     |         1
   volcan                       |         1
   volatilized                  |         1
   volatility                   |         1
   volatile-poor                |         1
   volant                       |         1
   vol61                        |         1
   vol21                        |         1
   vol20008                     |         1
   vojvodstvo                   |         1
   vojvodinian                  |         1
   vojvoda                      |         1
   vojteh                       |         1
   vojtch                       |         1
   vojnik                       |         1
   vojna                        |         1
   voivodina                    |         1
   voivodeships                 |         1
   voivode                      |         1
   voisin                       |         1
   voigtlnders                  |         1
   voided                       |         1
   voiceover                    |         1
   vohu                         |         1
   vogue                        |         1
   vogt-russell                 |         1
   vogt                         |         1
   vogons                       |         1
   voges                        |         1
   vogelweide                   |         1
   voevoda                      |         1
   vodun                        |         1
   vodopivec                    |         1
   vodnik                       |         1
   voditi                       |         1
   vodenicharov                 |         1
   vod                          |         1
   vocalists                    |         1
   vo                           |         1
   vnir                         |         1
   vniief                       |         1
   vneshtorgbank                |         1
   vmmr                         |         1
   vlwir                        |         1
   vlusp                        |         1
   vltea                        |         1
   vls                          |         1
   vlov                         |         1
   vlib                         |         1
   vleas                        |         1
   vldes                        |         1
   vld                          |         1
   vlasta                       |         1
   vlasina                      |         1
   vlas                         |         1
   vlaminck                     |         1
   vlam                         |         1
   vlaho                        |         1
   vladko                       |         1
   vladimr                      |         1
   vladimirescu                 |         1
   vladikavkaz                  |         1
   vladigerov                   |         1
   vlad                         |         1
   vlacq                        |         1
   vla                          |         1
   vl                           |         1
   vk                           |         1
   vj                           |         1
   vizsoly                      |         1
   vize                         |         1
   vizar                        |         1
   viyaru                       |         1
   vivre                        |         1
   vivitarsakar                 |         1
   vivien                       |         1
   vivicam                      |         1
   viviani                      |         1
   viviane                      |         1
   vivian                       |         1
   vivekanandar                 |         1
   viveiro                      |         1
   vivant                       |         1
   vivacom                      |         1
   viudas                       |         1
   viuda                        |         1
   vitz                         |         1
   vitus                        |         1
   vittori                      |         1
   vitry                        |         1
   vitruvius                    |         1
   vitrophyres                  |         1
   vitrophyre                   |         1
   vitriol                      |         1
   vitrification                |         1
   vitrectomy                   |         1
   vito                         |         1
   vitebsk                      |         1
   viteazul                     |         1
   vitas                        |         1
   vitan                        |         1
   vitamins                     |         1
   vitaliyevich                 |         1
   vitality                     |         1
   vitagliano                   |         1
   vita                         |         1
   visuals                      |         1
   visually-read                |         1
   visualizing                  |         1
   visualised                   |         1
   vissi                        |         1
   vispavada                    |         1
   vispatarva                   |         1
   vispafry                     |         1
   vispa                        |         1
   visors                       |         1
   visitation-sainte-marie      |         1
   vision-threatening           |         1
   visigoths                    |         1
   visible-light                |         1
   visibilem                    |         1
   vishnevskaya                 |         1
   vishal                       |         1
   visayan                      |         1
   visasso                      |         1
   visa-on-arrival              |         1
   visa-free                    |         1
   vis-a-vis                    |         1
   vis--vis                     |         1
   viruses                      |         1
   virupaksha                   |         1
   virulent                     |         1
   virtute                      |         1
   virtully                     |         1
   virtanen                     |         1
   virovitica-podravina         |         1
   virovitica                   |         1
   virology                     |         1
   virologist                   |         1
   virgos                       |         1
   virginias                    |         1
   virgamenois                  |         1
   virgamen                     |         1
   virga                        |         1
   virchow                      |         1
   vipers                       |         1
   viper                        |         1
   vipava                       |         1
   violists                     |         1
   violins                      |         1
   violators                    |         1
   viola                        |         1
   vinyldisc                    |         1
   vintners                     |         1
   vintermnad                   |         1
   vinogradov                   |         1
   vinod                        |         1
   vinkovci                     |         1
   vinko                        |         1
   vingoradov                   |         1
   viney                        |         1
   vines                        |         1
   vinegret                     |         1
   vinegar                      |         1
   vindication                  |         1
   vindhya                      |         1
   vincoli                      |         1
   vincentio                    |         1
   vinaver                      |         1
   vina-belo                    |         1
   vin                          |         1
   vimy                         |         1
   vims-v                       |         1
   viminacium                   |         1
   vimeu                        |         1
   villosus                     |         1
   villosa                      |         1
   villaseor                    |         1
   villarrica                   |         1
   villanueva                   |         1
   villandry                    |         1
   villagesuch                  |         1
   villagestowns                |         1
   vilkhnovich                  |         1
   vilified                     |         1
   vilhelm                      |         1
   vilev                        |         1
   vilayets                     |         1
   vilas                        |         1
   viktorenko                   |         1
   vikrant                      |         1
   vijayalaxmi                  |         1
   vijayadashami                |         1
   viinat                       |         1
   viii525                      |         1
   viia                         |         1
   vii133                       |         1
   vigour                       |         1
   vignette                     |         1
   vigilant                     |         1
   vifinnr                      |         1
   viewings                     |         1
   viewfinders                  |         1
   vieuxtemps                   |         1
   vieux-qubec                  |         1
   vierge                       |         1
   viennese-style               |         1
   viennese                     |         1
   viehbck                      |         1
   vidmar                       |         1
   vidicon                      |         1
   videri                       |         1
   videretur                    |         1
   videowhich                   |         1
   videolink                    |         1
   videographers                |         1
   videocassettes               |         1
   video-on-demand              |         1
   vidals                       |         1
   vida                         |         1
   victorine                    |         1
   victorieskills               |         1
   victorem                     |         1
   victora                      |         1
   victor-pauchet               |         1
   victor-ferdinand             |         1
   victimhood                   |         1
   vico-hind                    |         1
   vicious                      |         1
   viceroyal                    |         1
   viceland                     |         1
   vice-presidency              |         1
   vice-premier                 |         1
   vice-counties                |         1
   vice-chancellor              |         1
   vice-chairman                |         1
   vicarius                     |         1
   vicarious                    |         1
   vicarage                     |         1
   vicar                        |         1
   vibratory                    |         1
   vibrationvibration           |         1
   vibrate                      |         1
   vian                         |         1
   vial                         |         1
   vi91                         |         1
   vi137                        |         1
   vi127                        |         1
   vhk                          |         1
   vg                           |         1
   vez                          |         1
   veut                         |         1
   vettori                      |         1
   vetting                      |         1
   vettel                       |         1
   vetted                       |         1
   vetchinkin                   |         1
   veszprm                      |         1
   veszedelem                   |         1
   vesuvius                     |         1
   vesto                        |         1
   vestment                     |         1
   vestigial                    |         1
   vesta-sized                  |         1
   vespucci                     |         1
   vespasian                    |         1
   veskha                       |         1
   vesicle                      |         1
   veselin                      |         1
   very-low-ti                  |         1
   very-long                    |         1
   very-high-energy             |         1
   verwichte                    |         1
   verwandlung                  |         1
   vertov                       |         1
   vertigo                      |         1
   vert-vert                    |         1
   version-of-record            |         1
   versicolor                   |         1
   versed                       |         1
   verseand                     |         1
   vers                         |         1
   verrire                      |         1
   verrazzano                   |         1
   verr                         |         1
   verona                       |         1
   vernon                       |         1
   vernet                       |         1
   vermicelli                   |         1
   vermi                        |         1
   vermes                       |         1
   verlaine                     |         1
   verlagshandlung              |         1
   verkhoyansk                  |         1
   veritable                    |         1
   verifiable                   |         1
   verica                       |         1
   verhofstadts                 |         1
   verhofstadtiii               |         1
   verhofstadt                  |         1
   verhaeren                    |         1
   vergit                       |         1
   verging                      |         1
   verge                        |         1
   verfassungsgerichtshof       |         1
   veress                       |         1
   verendrye                    |         1
   vereinsbank                  |         1
   verdicts                     |         1
   vercingetorix                |         1
   verbunkos                    |         1
   verberverat                  |         1
   veracruz-puebla              |         1
   veracruz                     |         1
   veoh                         |         1
   venuses                      |         1
   venules                      |         1
   ventse                       |         1
   ventriloquists               |         1
   venton                       |         1
   venous                       |         1
   venomous                     |         1
   veno                         |         1
   vengeance                    |         1
   venezuelas                   |         1
   venetia                      |         1
   veneti                       |         1
   veneres                      |         1
   venerean                     |         1
   venerable                    |         1
   venera7                      |         1
   vendor                       |         1
   vendmiaire                   |         1
   venclovi                     |         1
   venatici                     |         1
   venac                        |         1
   veltroni                     |         1
   veltliner                    |         1
   velours                      |         1
   velorum                      |         1
   velocitys                    |         1
   velocity-dependent           |         1
   velocipede                   |         1
   velocimetry                  |         1
   velli                        |         1
   velimir                      |         1
   velikovi                     |         1
   veliko                       |         1
   velikiye                     |         1
   velikiy                      |         1
   velike                       |         1
   velika                       |         1
   veli                         |         1
   veleti                       |         1
   veleda                       |         1
   velde                        |         1
   velazquez                    |         1
   vela                         |         1
   vel                          |         1
   vein                         |         1
   vehicular                    |         1
   vehicle-to-grid              |         1
   vehicle-specific             |         1
   vehicle-caused               |         1
   vehement                     |         1
   vehbi                        |         1
   veguenza                     |         1
   vegas                        |         1
   veers                        |         1
   veernje                      |         1
   veering                      |         1
   veela                        |         1
   vee                          |         1
   vedat                        |         1
   vedanga                      |         1
   vectorially                  |         1
   vectorial                    |         1
   vector-mediated              |         1
   vecsey                       |         1
   veche                        |         1
   veber                        |         1
   ve-yimareru                  |         1
   vdus                         |         1
   vctor-1                      |         1
   vctor                        |         1
   vcr                          |         1
   vcioms                       |         1
   vcds                         |         1
   vc-137                       |         1
   vbscom                       |         1
   vbs                          |         1
   vb                           |         1
   vazov                        |         1
   vazken                       |         1
   vazka                        |         1
   vazduhoplavatelno            |         1
   vayu                         |         1
   vax2                         |         1
   vavilov                      |         1
   vautrin                      |         1
   vaudeville                   |         1
   vaucouleurs                  |         1
   vauban                       |         1
   vau                          |         1
   vatteone                     |         1
   vattenfall                   |         1
   vatin                        |         1
   vatatzes                     |         1
   vastu-purusha                |         1
   vastu                        |         1
   vastness                     |         1
   vassiljeva                   |         1
   vassiliou                    |         1
   vasseur                      |         1
   vassar                       |         1
   vassalage                    |         1
   vasnetsov                    |         1
   vaslav                       |         1
   vasko                        |         1
   vasion                       |         1
   vasilisa                     |         1
   vasilis                      |         1
   vasilev                      |         1
   vasileos                     |         1
   vasilaki                     |         1
   vascularization              |         1
   vascosan                     |         1
   vasconi                      |         1
   vasant                       |         1
   varzin                       |         1
   varves                       |         1
   varus                        |         1
   varsha                       |         1
   varro                        |         1
   varnay                       |         1
   varley                       |         1
   varlet                       |         1
   variste                      |         1
   variantsthough               |         1
   variancethat                 |         1
   variablerelies               |         1
   variable-speed               |         1
   variable-geometry            |         1
   varennes-en-argonne          |         1
   varennes                     |         1
   varecia                      |         1
   vardah                       |         1
   vard                         |         1
   var                          |         1
   vaquette                     |         1
   vaques                       |         1
   vapourized                   |         1
   vapourisation                |         1
   vapors                       |         1
   vapor-liquid                 |         1
   vapor-deposited              |         1
   vanunu                       |         1
   vant                         |         1
   vanquishing                  |         1
   vanquishes                   |         1
   vanity                       |         1
   vanguardism                  |         1
   vangopasagara                |         1
   vangasagara                  |         1
   vanetti                      |         1
   vanessa                      |         1
   vanes                        |         1
   vane                         |         1
   vandersteen                  |         1
   vandenberg                   |         1
   vandebergh                   |         1
   vanadiumii                   |         1
   vampires                     |         1
   vampir                       |         1
   vama                         |         1
   valvasor                     |         1
   valueless                    |         1
   value-added                  |         1
   valtorta                     |         1
   valte                        |         1
   valses                       |         1
   valry                        |         1
   valparaso                    |         1
   valour                       |         1
   valore                       |         1
   valletta                     |         1
   vallaud-belkacem             |         1
   vallahades                   |         1
   valladolid                   |         1
   valkyrie                     |         1
   valjevo                      |         1
   validating                   |         1
   validates                    |         1
   vali                         |         1
   valerian                     |         1
   valeo                        |         1
   valentino                    |         1
   valentia                     |         1
   valenki                      |         1
   valea                        |         1
   valdivia                     |         1
   valdezs                      |         1
   valdemaras                   |         1
   valcea                       |         1
   val-jalbert                  |         1
   val                          |         1
   vakili                       |         1
   vakil                        |         1
   vakf                         |         1
   vakarm                       |         1
   vajdasg                      |         1
   vaishakh                     |         1
   vaisakhi                     |         1
   vaisakheswara                |         1
   vaisakha                     |         1
   vairya                       |         1
   vaio                         |         1
   vaillancourt                 |         1
   vaiana                       |         1
   vahita                       |         1
   vahe                         |         1
   vahdat                       |         1
   vagus                        |         1
   vaguer                       |         1
   vagueness                    |         1
   vagniez-renon                |         1
   vaginal                      |         1
   vaghri                       |         1
   vagaries                     |         1
   vagans                       |         1
   vafawitten                   |         1
   vafa                         |         1
   vae                          |         1
   vadodara                     |         1
   vadim                        |         1
   vadas                        |         1
   vacuums                      |         1
   vacuum-ultraviolet           |         1
   vacuum-packed                |         1
   vacuum-deposited             |         1
   vacuo                        |         1
   vacillating                  |         1
   vaches                       |         1
   vaccines                     |         1
   vacationsholidays            |         1
   vacations                    |         1
   vacation                     |         1
   vacate                       |         1
   vacancy                      |         1
   vacances                     |         1
   vacaciones                   |         1
   vab                          |         1
   va                           |         1
   v841                         |         1
   v838                         |         1
   v78                          |         1
   v777                         |         1
   v393                         |         1
   v361                         |         1
   v335                         |         1
   v30                          |         1
   v2g                          |         1
   v20                          |         1
   v11                          |         1
   v1057                        |         1
   v-vii                        |         1
   uzziah                       |         1
   uzounov-1                    |         1
   uzon                         |         1
   uzknay                       |         1
   uzbek                        |         1
   uz                           |         1
   uygur                        |         1
   uweinat                      |         1
   uvvisnir                     |         1
   uvvis                        |         1
   uvre                         |         1
   uveitic                      |         1
